Year,Agency Name,Vendor Name,Vendor Zip,Amount
2009,MD DEPARTMENT OF AGRICULTURE,IDEXX DISTRIBUTION CORP,30392,5099.03
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,IDEXX DISTRIBUTION CORP,30392,156482
2009,MARYLAND HIGHER EDUCATION COMMISSION,GOLD BRIDGE PARTNERS INC,04330,645061.61
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARKET DECISIONS LLC,04101,236412.4
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"SPECTRUM ENTERPRISES, INC",04107,343800
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW WATERS TOWERS DEVELOPMENT CO LP,04101,1509835
2009,DEPARTMENT OF HUMAN RESOURCES,"PRESERVATION MANAGEMENT, INC.",21853,350
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"PRESERVATION MANAGEMENT, INC.",04106,573810
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CAPITAL ONCOLOGY HEMATOLOGY,21030,246701.32
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CAPITAL ONCOLOGY HEMATOLOGY,20902,145
2009,MARYLAND PORT ADMINISTRATION,MEDIA TWO INC,21211,187993.93
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,MEDIA TWO INC,19805,1775
2009,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,MEDIA TWO INC,21211,500021.75
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MCKESSON SPECIALTY PHARMACEUTICALS,75373,164509.14
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CHILDREN OF THE KING LLC EARLY LEARNING CENTER,20707,27207.23
2009,BALTIMORE CITY COMMUNITY COLLEGE,TURNING TECHNOLOGIES LLC,43271,30124.13
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTH PARK GARDENS,21803,57533.14
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CIRCLE OF FRIENDS LLC,20860,1597678.16
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MICHAEL RANDOLPH MD,21218,41672.91
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,MICHAEL RANDOLPH MD,21218,105
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,30622.52
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,930
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARSHYHOPE FAMILY SERVICES LLC,21613,40479.92
2009,DEPARTMENT OF HUMAN RESOURCES,MARSHYHOPE FAMILY SERVICES LLC,21613,15
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,MARSHYHOPE FAMILY SERVICES LLC,21613,1992.4
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,WOODSIDE GARDENS APARTMENTS,90058,1259553
2009,OFFICE OF THE PUBLIC DEFENDER,MRO CORPORATION,19406,722.45
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,MRO CORPORATION,19406,100736
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ONE STEP UP INC,21216,250168.81
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF BAYSIDE LLC,20653,198702.6
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FMC OF ANNE ARUNDEL,21264,243874.24
2009,MARYLAND DEPT. OF VETERANS AFFAIRS,H M R OF MARYLAND LLC,29640,10862256.29
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,H M R OF MARYLAND LLC,29640,8186865.02
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARLEY NECK HEALTH & REHAB CENTER,10286,100188.67
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LIBERTY HEIGHTS HEALTH & REHAB CENTER,10286,87407.84
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTHWEST HEALTH & REHAB CENTER,10286,5175130.45
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,NORTHWEST HEALTH & REHAB CENTER,21215,65
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FRANKLIN SQUARE HEALTH & REHAB CENTER,10286,519772.55
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,FRANKLIN SQUARE HEALTH & REHAB CENTER,10286,75
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,BEL PRE HEALTH AND REHAB CENTER,10286,30671.16
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,BEL PRE HEALTH AND REHAB CENTER,10286,60
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,TAKOMA TOWERS  DBA VICTORY TOWERS,21401,1015816
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COMMUNITY CARE NURSING SERVICES INC,21234,5727048.14
2009,DEPARTMENT OF HUMAN RESOURCES,COMMUNITY CARE NURSING SERVICES INC,21234,1900
2009,MARYLAND TRANSIT ADMINISTRATION,LAW OFFICE OF RONALD M CHERR Y PC,21204,43793.76
2009,MARYLAND AVIATION ADMINISTRATION,DIGITAL FACILITIES CORP,01886,40555
2009,MD DEPARTMENT OF AGRICULTURE,LEAD MARYLAND FOUNDATION INC,21658,44160
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CELEBREE LEARNING CENTER OF SPRING RIDGE,21015,37979.49
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FAITH FOUNDATION HEALTH,21244,88910.29
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRACY WERTHEIMER DPM LLC,21061,44176.64
2009,DEPARTMENT OF HUMAN RESOURCES,TRACY WERTHEIMER DPM LLC,21061,120
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTOR MARYLAND,21229,138451
2009,DEPARTMENT OF HUMAN RESOURCES,MENTOR MARYLAND,21228,7233903.19
2009,DEPARTMENT OF JUVENILE SERVICES,MENTOR MARYLAND,21228,1394872.65
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WESTSIDE MEDICAL GROUP LLC,21022,85110.79
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,WESTSIDE MEDICAL GROUP LLC,21022,95
2009,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,AUTUMN CONTRACTING INC,20781,486900
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PENINSULA ENDOSCOPY CENTER,19713,40968.32
2009,STATE HIGHWAY ADMIN,LICKING CREEK PAVING & HAULING LLC,21711,23372.5
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LICKING CREEK PAVING & HAULING LLC,21711,4875
2009,STATE HIGHWAY ADMIN,PATRICK & TRACY TRUCKING,21754,27980
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,GRANNIE ANNIES CHILDCARE & LEARNING CENTER,21122,32283.92
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHARING CROSS DIALYSIS,31193,621515.72
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HELENA'S HOUSE INC,20774,522566.76
